Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,Dr,Driver,06/08/2024 22:53:21,109.6,3.1,27,4561,1411,4774,151.8,164.6,33.7,38.8,51.8,,,,,,,,,,,
2,Dr,Driver,06/08/2024 22:54:13,111.8,4.7,21.9,5388,2805,6074,150.6,159.4,50.5,31.4,48.5,,,,,,,,,,,
3,3w,FW,06/08/2024 22:55:23,109.6,8.8,23.3,440,91,449,170.1,206,35.7,21.1,29.3,,,,,,,,,,,
4,3w,FW,06/08/2024 22:56:05,114.1,1.6,24,6110,3096,6850,150.2,161.1,44.8,36.1,51.7,,,,,,,,,,,
5,3w,FW,06/08/2024 22:57:07,109.6,2,20.5,6064,3545,7024,143.6,154.5,46,27.7,46.8,,,,,,,,,,,
6,3w,FW,06/08/2024 22:58:38,123,1.3,24.6,5759,3119,6549,164,172.7,51.1,43,54.1,,,,,,,,,,,
7,3w,FW,06/08/2024 23:00:02,114.1,-3.4,24.9,5497,2276,5950,154.4,165.9,24.7,38.4,52.1,,,,,,,,,,,
8,3w,FW,06/08/2024 23:00:29,114.1,-1,27.7,5575,2282,6024,149.7,161,30.6,41.7,54.1,,,,,,,,,,,
9,3w,FW,06/08/2024 23:01:04,116.3,-2.9,25.7,5758,3424,6699,150.8,161.9,37.9,38.6,53.2,,,,,,,,,,,
10,3w,FW,06/08/2024 23:01:35,129.7,-0.3,13.9,4437,2759,5225,178.3,189.1,51,25.6,41.4,,,,,,,,,,,
11,3w,FW,06/08/2024 23:03:01,116.3,7.2,27,6759,4463,8100,147.7,152.8,68.5,41.2,55.7,,,,,,,,,,,
12,3w,FW,06/08/2024 23:03:20,111.8,-0.2,25.2,5022,2242,5500,152.2,164.2,34.6,36.7,51.3,,,,,,,,,,,
13,3w,FW,06/08/2024 23:04:12,125.3,-3.5,21.4,2766,-211,2774,202,220.1,-21.8,39.9,46.6,,,,,,,,,,,
14,3w,FW,06/08/2024 23:05:12,125.3,6,22.5,4675,2943,5524,170.4,175.7,69,38.4,51.3,,,,,,,,,,,
15,3w,FW,06/08/2024 23:06:05,116.3,3.4,25.5,3880,1607,4200,168.3,182.5,46.7,41,51.4,,,,,,,,,,,
16,3w,FW,06/08/2024 23:07:37,116.3,6.4,23.1,5354,2356,5849,159.1,163.4,51.9,36.9,50.9,,,,,,,,,,,
17,Dr,Driver,06/08/2024 23:08:43,120.8,-13.4,14.2,3331,1295,3574,174.5,192,-12.8,22.3,36.7,,,,,,,,,,,
18,Dr,Driver,06/08/2024 23:09:58,116.3,-1.8,26.3,3481,362,3500,174.9,190.1,3.9,44,51.4,,,,,,,,,,,
19,Dr,Driver,06/08/2024 23:10:21,118.6,-2.3,22.5,2837,596,2899,187.3,205.2,12,37.7,46.8,,,,,,,,,,,
20,Dr,Driver,06/08/2024 23:10:47,132,1,19,3953,1342,4175,198,213.4,41.9,39.8,48.6,,,,,,,,,,,
21,Dr,Driver,06/08/2024 23:12:07,118.6,1.3,15.8,2822,1340,3124,174.3,193.1,40.9,23.1,36.9,,,,,,,,,,,
22,Dr,Driver,06/08/2024 23:12:53,116.3,4.5,16.7,2627,891,2774,179.5,198.5,43.1,24.9,37.7,,,,,,,,,,,
23,Dr,Driver,06/08/2024 23:13:26,116.3,-10.7,14.7,2979,525,3025,175.8,194.4,-21.5,22.3,35.9,,,,,,,,,,,
24,Dr,Driver,06/08/2024 23:15:07,123,0.4,19.5,3384,1070,3549,185.3,201.9,32.1,34.1,45.5,,,,,,,,,,,
25,Dr,Driver,06/08/2024 23:16:05,114.1,4.6,17.7,612,-339,700,164.4,199.8,0.5,15.7,24,,,,,,,,,,,
26,Dr,Driver,06/08/2024 23:16:34,120.8,0.3,14.4,5207,3317,6174,160.6,171.8,48.6,23,40.7,,,,,,,,,,,
27,Dr,Driver,06/08/2024 23:17:03,118.6,2.8,15.2,2536,848,2674,181.3,201.5,37.1,22.5,35.2,,,,,,,,,,,
28,Dr,Driver,06/08/2024 23:19:29,123,-1.3,24.8,3538,663,3600,184.4,199.8,14.9,45,51.2,,,,,,,,,,,
29,4h,Hybrid,06/08/2024 23:22:14,89.5,5.5,40.9,3523,-97,3524,110.5,121.8,10.6,40.5,57.3,,,,,,,,,,,
30,4h,Hybrid,06/08/2024 23:22:29,98.4,-1.5,18.2,2474,-13,2474,142,160.6,-4.6,18.5,34,,,,,,,,,,,
31,4h,Hybrid,06/08/2024 23:22:53,120.8,-2,15,4150,-454,4175,180,195.9,-17.7,27.3,41.5,,,,,,,,,,,
32,4h,Hybrid,06/08/2024 23:23:10,107.4,-9.2,11.4,3095,-706,3175,144.9,164.9,-40.4,12.9,26.9,,,,,,,,,,,
33,4h,Hybrid,06/08/2024 23:23:27,94,2.4,17.2,2660,1330,2974,122,140.6,27,14.2,30.6,,,,,,,,,,,
34,4h,Hybrid,06/08/2024 23:23:50,111.8,3.7,20.4,1772,433,1824,180,202.4,31,26.7,37.6,,,,,,,,,,,
35,4h,Hybrid,06/08/2024 23:24:05,114.1,0.4,18.6,3267,613,3324,170.1,186.6,17.2,27.5,41.3,,,,,,,,,,,
36,4h,Hybrid,06/08/2024 23:27:38,118.6,0.9,17.5,3023,398,3049,185.1,203.6,15.8,29,41.1,,,,,,,,,,,
37,4h,Hybrid,06/08/2024 23:28:15,109.6,-2.1,17.4,4591,1399,4799,153.1,166.9,17.1,24.2,41.2,,,,,,,,,,,
38,4h,Hybrid,06/08/2024 23:28:32,96.2,-1.3,17.6,2789,1618,3224,124.5,142.4,22,15.1,32.3,,,,,,,,,,,
39,4h,Hybrid,06/08/2024 23:29:01,102.9,2.3,18.7,3867,1504,4149,139.5,154.6,30.2,21,39,,,,,,,,,,,
40,5h,Hybrid,06/08/2024 23:29:38,109.6,6.1,25.7,2302,837,2449,168.4,186.5,46.3,34.6,46.1,,,,,,,,,,,
41,5h,Hybrid,06/08/2024 23:29:55,105.1,5.8,25.9,2522,1096,2750,157.5,174.8,46.6,32.5,46.2,,,,,,,,,,,
42,5h,Hybrid,06/08/2024 23:30:37,109.6,-3.8,15,2072,-1919,2824,143.9,159,-47.9,14.8,28.7,,,,,,,,,,,
43,5h,Hybrid,06/08/2024 23:31:05,96.2,1.4,16.1,2202,-314,2224,131.5,152.6,-3.2,14.1,28.7,,,,,,,,,,,
44,5h,Hybrid,06/08/2024 23:32:36,118.6,0.4,18.6,2398,78,2399,190.4,210.7,4.5,29.4,40,,,,,,,,,,,
45,5h,Hybrid,06/08/2024 23:33:23,98.4,4.2,17.3,3296,161,3300,134.9,151.8,14.2,17.5,34.3,,,,,,,,,,,
46,5h,Hybrid,06/08/2024 23:34:40,107.4,-0.7,20.4,2612,445,2650,162.5,180.2,10,26.1,40.1,,,,,,,,,,,
47,Dr,Driver,06/08/2024 23:35:51,118.6,0.1,24.3,2826,843,2949,184.6,202.1,28.1,40.3,48.5,,,,,,,,,,,
48,Dr,Driver,06/08/2024 23:37:28,123,1.4,23.1,2458,282,2474,199.9,219.2,17.1,40.8,46.8,,,,,,,,,,,
49,Dr,Driver,06/08/2024 23:38:32,116.3,-1.2,22.9,2658,468,2699,182.3,200.9,11.6,35.9,45.7,,,,,,,,,,,
50,Dr,Driver,06/08/2024 23:39:01,118.6,2.5,21.9,2160,629,2250,190.9,211.4,34.6,33.9,43.1,,,,,,,,,,,
51,Dr,Driver,06/08/2024 23:39:43,111.8,-0.5,19.7,3479,1868,3949,157.6,173.6,36.4,26.3,42.2,,,,,,,,,,,
52,Dr,Driver,06/08/2024 23:40:56,123,-1.4,14.4,2869,685,2950,189.6,208.6,17.2,24.4,36.9,,,,,,,,,,,
